time,global_demand,local_supply,temperature,prosumer_1_production,prosumer_1_consumption,prosumer_1_battery_level,prosumer_1_nrgcoin_balance,prosumer_2_production,prosumer_2_consumption,prosumer_2_battery_level,prosumer_2_nrgcoin_balance,prosumer_3_production,prosumer_3_consumption,prosumer_3_battery_level,prosumer_3_nrgcoin_balance,prosumer_4_production,prosumer_4_consumption,prosumer_4_battery_level,prosumer_4_nrgcoin_balance,prosumer_5_production,prosumer_5_consumption,prosumer_5_battery_level,prosumer_5_nrgcoin_balance,consumer_1_consumption,consumer_2_consumption,consumer_3_consumption,consumer_4_consumption,consumer_5_consumption,consumer_6_consumption,consumer_7_consumption,consumer_8_consumption,consumer_9_consumption,consumer_10_consumption
10:40,6.564000267219978,2.0427673192108924,-1.0717967697244912,0.422641514319495,0.13645379405341546,0.5739924137960943,0,0.56352201909266,0.11978426233091453,2.041053797482431,0,0.3522012619329125,1.7961346973152092,0.0,0,0.4930817667060775,0.27197982102525875,0.22110194568081876,0,0.2113207571597475,1.8959907824290612,0.0,0,0.07000079710366043,0.03792933233730921,0.6416768673425934,0.1860752469492808,0.0796600360071847,0.11397714966247789,0.1141492917066139,0.8890190135450877,0.038118233483453584,0.1730509419284559
10:50,5.021289007552355,2.195974865744957,-1.0717967697244912,0.45433962739550837,0.12568422588803982,0.902647815303563,0,0.6057861698606779,0.11907715294904946,2.5277628143940594,0,0.3786163561629237,0.7894753226601843,0.0,0,0.5300628986280932,0.3057980931661234,0.44536675114278856,0,0.22716981369775419,1.7963952023319398,0.0,0,0.07046582070437113,0.03754058245763099,0.3564008798169303,0.18216819595842534,0.08424646893274974,0.07410343566143389,0.11218958373728276,0.727157540802505,0.04183376555221182,0.19875273693347806
11:00,4.4368883510852735,2.3398971063373097,-0.2725933896874535,0.4841166426904779,0.12252514719310827,1.2642393108009324,0,0.6454888569206372,0.11842402592339751,3.054827645391299,0,0.4034305355753983,0.27438924915674373,0.1290412864186546,0,0.5648027498055576,0.5788549961226268,0.4313145048257194,0,0.24205832134523894,1.4492685435734645,0.0,0,0.07097897234882403,0.03789081128507536,0.20664495354861642,0.17828971842236815,0.09885018336819595,0.06543338696419662,0.1102737951999072,0.6905864318259981,0.06755310127473993,0.3669250348780107
11:10,4.728792500467646,2.4745340409879466,-0.2725933896874535,0.5119725602044027,0.12109155202602999,1.6551203189793051,0,0.682630080272537,0.11782621781611265,3.6196315078477235,0,0.4266438001703357,0.12225589047045059,0.4334291961185397,0,0.5973013202384699,0.9765897490402199,0.05202607602396936,0,0.25598628010220137,1.0007126381850031,0.0,0,0.0715413592351738,0.03843452305944531,0.15364457803294265,0.17444473747584327,0.1344340852729743,0.06395351270197368,0.10881559545934733,0.7996749558462443,0.16772884263654744,0.6776442632093378
11:20,5.211063557755548,2.5998856696968695,-0.2725933896874535,0.5379073799372833,0.12004480061471734,2.072982898301871,0,0.7172098399163778,0.11728492695977871,4.219556420804323,0,0.44825614994773616,0.09534182272923634,0.7863435233370396,0,0.6275586099268305,1.2213090057936922,0.0,0,0.26895368996864166,0.601634452513878,0.0,0,0.07215393791600934,0.03973120929246031,0.16718546883769705,0.17063793914964023,0.2075554123914792,0.064440619265006,0.11248802781031249,0.7753398848457124,0.37851953913235953,1.0673965105035665
11:30,5.359743510944838,2.7159519924640785,-0.2725933896874535,0.5619211018891197,0.11915680476706529,2.5157471954239257,0,0.7492281358521596,0.11680314777184088,4.851981408884641,0,0.46826758490759984,0.09197888755952122,1.162632220685118,0,0.6555746188706397,1.0969417377239286,0.0,0,0.28096055094455985,0.33041492047652543,0.0,0,0.07281750831398759,0.04592897110715834,0.25434274824065883,0.16687376403341703,0.3342876320522567,0.07189585185304201,0.15051487097167957,0.5189295104008698,0.5815134448067114,1.407343710866176
11:40,5.353802266914864,2.8227330092895726,-0.2725933896874535,0.5840137260599115,0.11839909618287875,2.9813618253009584,0,0.7786849680798821,0.11642557156831614,5.5142408053962075,0,0.48667810504992637,0.09118256045245732,1.5581277652825873,0,0.6813493470698968,0.7153876713791562,0.0,0,0.29200686302995577,0.18462639201781078,0.10738047101214498,0,0.0735327131910676,0.07567148725962163,0.4443005790381332,0.16315639994520603,0.5170837861739213,0.11072491148976481,0.3136305070711985,0.24172721790336577,0.600571750707084,1.5873816225348818
11:50,5.8373420822458515,2.9202287201733528,-0.2725933896874535,0.6041852524496591,0.11776997607354724,3.46777710167707,0,0.8055803365995454,0.11676375476987448,6.203057387225878,0,0.503487710374716,0.09057755730503178,1.9710379183522717,0,0.7048827945246023,0.3624969040841133,0.34238589044048906,0,0.3020926262248296,0.12211530808875479,0.28735778914821974,0,0.07430007986248642,0.18322084635139596,0.7330660834346365,0.1594897757028432,0.7306143612175635,0.23708138747371857,0.6917924525744167,0.09706849961813264,0.5309890559037297,1.5899960397856063
12:00,7.014457322751214,3.0084391251154186,0.0,0.6224356810583624,0.11727019399358013,3.972942588741853,0,0.8299142414111499,0.12329155104300334,6.909680077594025,0,0.5186964008819688,0.09002422654875836,2.3997100926854817,0,0.7261749612347562,0.17920158081386287,0.8893592708613823,0,0.3112178405291812,0.10304541601136584,0.4955302136660351,0,0.07512035793451706,0.4575180503925453,1.0290368848571738,0.15587755690601296,0.9200401106186031,0.5017689318559689,1.1467203483225297,0.054396890867630096,0.5726819762288449,1.4884632463568184
12:10,8.279046303029448,3.0873642241157704,0.0,0.6387650118860214,0.1169003587496721,4.494807241878203,0,0.8516866825146951,0.16688252942668103,7.594484230682039,0,0.5323041765716846,0.08981004032900058,2.842204228928166,0,0.7452258472003583,0.14007623456789178,1.494508883493849,0,0.3193825059430107,0.10908853771594516,0.7058241818931006,0,0.07599662851264402,0.9291242337699995,1.1793966762470869,0.15232315210247901,1.0214074159093576,0.8619255146552437,1.3975645015642304,0.047246376028818815,0.6119486015033496,1.3793555019470471
