time,global_demand,local_supply,temperature,prosumer_1_production,prosumer_1_consumption,prosumer_1_battery_level,prosumer_1_nrgcoin_balance,prosumer_2_production,prosumer_2_consumption,prosumer_2_battery_level,prosumer_2_nrgcoin_balance,prosumer_3_production,prosumer_3_consumption,prosumer_3_battery_level,prosumer_3_nrgcoin_balance,prosumer_4_production,prosumer_4_consumption,prosumer_4_battery_level,prosumer_4_nrgcoin_balance,prosumer_5_production,prosumer_5_consumption,prosumer_5_battery_level,prosumer_5_nrgcoin_balance,consumer_1_consumption,consumer_2_consumption,consumer_3_consumption,consumer_4_consumption,consumer_5_consumption,consumer_6_consumption,consumer_7_consumption,consumer_8_consumption,consumer_9_consumption,consumer_10_consumption
02:10,1.5024532057031785,0.0,-1.9282032302755088,0.0,0.09090999576324255,0.0,0,0.0,0.13127810940021084,0.0,0,0.0,0.09128749275599914,0.0,0,0.0,0.2605536393749039,0.0,0,0.0,0.07891045216484019,0.0,0,0.1747306187414999,0.07665892933463159,0.1262304273460207,0.10024248098735845,0.1099612640569464,0.04201985779877315,0.05172576210141747,0.04969348260379043,0.028184132826287792,0.09006656044725597
02:20,1.5137782087798233,0.0,-1.9282032302755088,0.0,0.09093802857238072,0.0,0,0.0,0.13241537184333543,0.0,0,0.0,0.09184349423000909,0.0,0,0.0,0.26185160994615836,0.0,0,0.0,0.08015045484030309,0.0,0,0.1766250832187534,0.07693493245829601,0.12686078637071627,0.10053082929748801,0.11094014625215669,0.04233683414453635,0.05208090076926421,0.050345714155997257,0.02852301700566252,0.09140100567476604
02:30,1.5241734224067458,0.0,-1.9282032302755088,0.0,0.09089644347008305,0.0,0,0.0,0.13347538572102421,0.0,0,0.0,0.09234131231422708,0.0,0,0.0,0.2629657712695267,0.0,0,0.0,0.08134886477054948,0.0,0,0.17842686607627326,0.07716533894269152,0.12741452456502067,0.10075214986327365,0.11184804911515676,0.042625937461460074,0.052403268916599036,0.0509692047881829,0.028848083506621266,0.09269222162605618
02:40,1.5336204360489107,0.0,-1.9282032302755088,0.0,0.09078539191977483,0.0,0,0.0,0.13445615125297922,0.0,0,0.0,0.09278005597985184,0.0,0,0.0,0.2638938259872288,0.0,0,0.0,0.08250328966861323,0.0,0,0.1801330161531148,0.0773499340482535,0.12789090379705811,0.10090621225622372,0.11268318923766907,0.04288671373813408,0.05269234325920925,0.05156272191602892,0.029158799910788583,0.09393788692398286
02:50,1.542102740849813,0.0,-1.9282032302755088,0.0,0.09060519008295545,0.0,0,0.0,0.1353558056844911,0.0,0,0.0,0.09315895782839527,0.0,0,0.0,0.264633872379434,0.0,0,0.0,0.08361140787984371,0.0,0,0.18174075578011442,0.07748859437946704,0.1282893350101419,0.10099293588051741,0.11344393551806196,0.04311878137967309,0.05294766986652577,0.05212508962970588,0.02945465804384299,0.09513575150664261
03:00,1.5496057890829111,0.0,-0.6568542494923797,0.0,0.09035631791903298,0.0,0,0.0,0.1361726290556218,0.0,0,0.0,0.09347737728344019,0.0,0,0.0,0.26518441080149774,0.0,0,0.0,0.08467097676052274,0.0,0,0.18324749009200722,0.07758128851415513,0.12860937964184893,0.10101239084615096,0.1141288155879604,0.04332183333177263,0.05316886566841901,0.05265519318261715,0.029735175789850892,0.09628364460801357
03:10,1.5561170475779178,0.0,-0.6568542494923797,0.0,0.0900394176695355,0.0,0,0.0,0.13690504956666036,0.0,0,0.0,0.09373480337735415,0.0,0,0.0,0.2655443486867682,0.0,0,0.0,0.0856798408763469,0.0,0,0.1846508158601338,0.07762807738051636,0.12885075060331963,0.1009647983557694,0.11473652174190391,0.0434956389451042,0.05335561973387491,0.053151983319058786,0.029999898861146877,0.09737948260042482
03:20,1.5616260448793589,0.0,-0.6568542494923797,0.0,0.08965529173504842,0.0,0,0.0,0.13755164851706736,0.0,0,0.0,0.09393085711777589,0.0,0,0.0,0.26571300409194887,0.0,0,0.0,0.0866359399798231,0.0,0,0.18594852980686236,0.07762911438112727,0.12901331281983291,0.10085053060398506,0.11526591634108901,0.043640045568818425,0.05350769431716859,0.05361448041969216,0.03024840251661753,0.0984212766625021
03:30,1.5661244119207705,0.0,-0.6568542494923797,0.0,0.0892048999564215,0.0,0,0.0,0.13811116479675936,0.0,0,0.0,0.09406529342043725,0.0,0,0.0,0.2656901077693199,0.0,0,0.0,0.08753731672617619,0.0,0,0.18713863636440756,0.07758464526390424,0.12909708333540054,0.10067011019008022,0.11571603666453426,0.043754979863138754,0.053624925668206494,0.05404177844437154,0.030480293221282328,0.09940714023633045
03:40,1.5696059160248397,0.0,-0.6568542494923797,0.0,0.08868935631489377,0.0,0,0.0,0.13858249891033173,0.0,0,0.0,0.09413800259671656,0.0,0,0.0,0.2654758037575081,0.0,0,0.0,0.08838212408817002,0.0,0,0.18821935484245803,0.07749500774077801,0.1291022309857566,0.10042420904706197,0.11608609918346176,0.04384044882230367,0.05370722460476433,0.054433048652635395,0.030695210240129604,0.10033529623787009
