time,global_demand,local_supply,temperature,prosumer_1_production,prosumer_1_consumption,prosumer_1_battery_level,prosumer_1_nrgcoin_balance,prosumer_2_production,prosumer_2_consumption,prosumer_2_battery_level,prosumer_2_nrgcoin_balance,prosumer_3_production,prosumer_3_consumption,prosumer_3_battery_level,prosumer_3_nrgcoin_balance,prosumer_4_production,prosumer_4_consumption,prosumer_4_battery_level,prosumer_4_nrgcoin_balance,prosumer_5_production,prosumer_5_consumption,prosumer_5_battery_level,prosumer_5_nrgcoin_balance,consumer_1_consumption,consumer_2_consumption,consumer_3_consumption,consumer_4_consumption,consumer_5_consumption,consumer_6_consumption,consumer_7_consumption,consumer_8_consumption,consumer_9_consumption,consumer_10_consumption
00:00,0.9041667641474604,0.0,5.0,0.0,0.03877918484034632,0.0,0,0.0,0.04600911869623925,0.0,0,0.0,0.10625002315330581,0.0,0,0.0,0.038706746707720056,0.0,0,0.0,0.04382520725688296,0.0,0,0.03388972027158098,0.025833835635226322,0.04061302695250116,0.1241896629400437,0.07847882439432338,0.04426192784617258,0.05068065297558835,0.11141664547089566,0.06807075494195645,0.053161432064677445
00:10,0.9177540404505606,0.0,5.0,0.0,0.039611777917642484,0.0,0,0.0,0.04679576975580896,0.0,0,0.0,0.10814558064277556,0.0,0,0.0,0.03973562226235835,0.0,0,0.0,0.04423763929034759,0.0,0,0.034544015762370504,0.026380050131215697,0.04080408639786823,0.12588338153572715,0.07935297478637474,0.04494233695718017,0.05204089607984325,0.11271828378761918,0.06873613118991521,0.0538254939535136
00:20,0.9309161414348353,0.0,5.0,0.0,0.04043278923982828,0.0,0,0.0,0.04756683844189639,0.0,0,0.0,0.10999260415826752,0.0,0,0.0,0.04076198221973303,0.0,0,0.0,0.04462367098829599,0.0,0,0.03518899288061914,0.02691923218046771,0.04096425925280517,0.12750939666736955,0.0801764349864587,0.045603722327793715,0.05340007804438821,0.11395881835198186,0.06935703768553894,0.05446028400939108
00:30,0.9436304323990495,0.0,5.0,0.0,0.041240788446336295,0.0,0,0.0,0.048321328299362094,0.0,0,0.0,0.11178753744201547,0.0,0,0.0,0.04178428663997497,0.0,0,0.0,0.0449827103962563,0.0,0,0.0358236851862127,0.02745059722534206,0.04109320666257385,0.12906462225704435,0.08094744912412535,0.04624499274864,0.054756219993469385,0.11513609344647731,0.06993221037205492,0.05506470415916458
00:40,0.955874996758742,0.0,5.0,0.0,0.042034348095483294,0.0,0,0.0,0.049058277779803865,0.0,0,0.0,0.11352688862333134,0.0,0,0.0,0.042800972379806644,0.0,0,0.0,0.04531423308394061,0.0,0,0.036447129178989165,0.02797337616211612,0.04119066474141285,0.13054609192178337,0.08166436545883854,0.04686508655868413,0.05610729787451026,0.11624806631437905,0.0704604776455881,0.05563772094007461
00:50,0.967628710755166,0.0,5.0,0.0,0.04281204826154207,0.0,0,0.0,0.04977676418829221,0.0,0,0.0,0.11520724205566683,0.0,0,0.0,0.043810457710989695,0.0,0,0.0,0.0456177850863513,0.0,0,0.03705836692539883,0.028486818865621655,0.041256445827482335,0.1319509687948691,0.08232564260393684,0.04746297532260971,0.05745124721501821,0.11729281348567398,0.07094076443542342,0.05617836997628999
01:00,0.9788713167059115,0.0,5.2725933896874535,0.0,0.0435724812141379,0.0,0,0.0,0.050475907614233956,0.0,0,0.0,0.11682527005982903,0.0,0,0.0,0.04481114715015042,0.0,0,0.0,0.045892985661564786,0.0,0,0.03765644873644772,0.028990197762894476,0.04129043945371324,0.13327655499147598,0.08292985540238308,0.04803766748088283,0.05878596816344171,0.118268536751361,0.07137209595396629,0.056685760309429165
01:10,0.9895834944969799,0.0,5.2725933896874535,0.0,0.044314256161103925,0.0,0,0.0,0.051154874833517744,0.0,0,0.0,0.11837774451896027,0.0,0,0.0,0.04580143648420292,0.0,0,0.0,0.046139529852791294,0.0,0,0.0382404358888599,0.029482811442488766,0.04129261302964015,0.1345203006765315,0.08347570042475301,0.04858821195819265,0.06010933080011095,0.11917356876212559,0.07175360109857017,0.05715907856513103
01:20,0.9997469310203684,0.0,5.2725933896874535,0.0,0.0450360040351751,0.0,0,0.0,0.05181288316891359,0.0,0,0.0,0.11986154827083773,0.0,0,0.0,0.04677971797413966,0.0,0,0.0,0.04635719084300603,0.0,0,0.038809403380964516,0.029963988285577454,0.04126301223084456,0.13567981269436433,0.08396200106163695,0.04911370171580661,0.06141918070260833,0.1200063782290703,0.07208451548914874,0.057597592938274426
01:30,1.0093443872669212,0.0,5.2725933896874535,0.0,0.045736382304242366,0.0,0,0.0,0.05244920429554407,0.0,0,0.0,0.12127368624331573,0.0,0,0.0,0.04774438571856988,0.0,0,0.0,0.04654582209119403,0.0,0,0.03936244271440476,0.030433090104482797,0.04120176109420108,0.1367528627216316,0.08438771218453152,0.04961327723328603,0.06271334474816948,0.12076557470595636,0.07236418412733935,0.058000656980052016
01:40,1.0183597627913301,0.0,5.2725933896874535,0.0,0.04641407978433305,0.0,0,0.0,0.05306316797811557,0.0,0,0.0,0.12261129627932289,0.0,0,0.0,0.04869384115706586,0.0,0,0.0,0.04670535924004179,0.0,0,0.03989866469238135,0.03088951577385845,0.041109061818693525,0.1377373949071671,0.08475192435136869,0.05008612990497784,0.06398963713401618,0.12144991293427888,0.07259206366491852,0.05836771317079045
